Mailtag,event,LOC,DTM,RCVSNDDAT,SEQNUM,col0
USJFKAQADOHABUN00021001900017,21,DOH,2008021657,02-AUG-2020 14:35:44,132782306,UNB+UNOA:2+AAI:YY+US101:UP+200802:1435+130'UNH+9164696+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04577:3'
USJFKAQADOHABUN00021001900017,24,JFK,2008012050,02-AUG-2020 01:29:49,132602121,UNB+UNOA:2+AAI:YY+US101:UP+200802:0129+99'UNH+9164592+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04577:3'
USJFKAQADOHABUN00021001900017,74,JFK,2008011553,01-AUG-2020 23:44:31,132588691,UNB+UNOA:2+AAI:YY+US101:UP+200801:2344+93'UNH+9164573+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04577:3'
USJFKYBDDACAAUL00202001900011,21,DAC,2008070533,07-AUG-2020 00:05:23,133850638,UNB+UNOA:2+AAI:YY+US101:UP+200807:0005+443'UNH+9165420+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00539:3'
USJFKYBDDACAAUL00202001900011,24,DOH,2008062118,26-JUL-2021 18:05:10,244326840,UNB+UNOA:2+AAI:YY+US101:UP+210726:1805+13708731'UNH+13709000+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00087:3'LOC+48+USJFKY:108:139'
USJFKYBDDACAAUL00202001900011,24,JFK,2008041639,26-JUL-2021 18:05:13,244326875,UNB+UNOA:2+AAI:YY+US101:UP+210726:1805+13708732'UNH+13709002+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04572:3'LOC+48+USJFKA:108:139'
USJFKYBDDACAAUL00202001900011,74,JFK,2008041550,04-AUG-2020 23:45:15,133302342,UNB+UNOA:2+AAI:YY+US101:UP+200804:2345+293'UNH+9165246+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00496:3'
USJFKYGBLALAAUL00409004900055,21,LHR,2008030715,04-AUG-2020 12:51:20,133177719,UNB+UNOA:2+AAI:YY+US101:UP+200804:1251+115'UNH+1482158+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00217:3'
USJFKYGBLALAAUL00409004900055,24,JFK,2008021824,04-AUG-2020 12:51:20,133177719,UNB+UNOA:2+AAI:YY+US101:UP+200804:1251+115'UNH+1482158+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00217:3'
USJFKYGBLALAAUL00409004900055,74,JFK,2008021302,04-AUG-2020 12:51:21,133177741,UNB+UNOA:2+AAI:YY+US101:UP+200804:1251+116'UNH+1482160+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AJF00217:3'
