"CMPCOD","BTCHID","SERNUM","MALSEQNUM","MALIDR","CSGDOCNUM","ACPSCNCAR","POSSCNAPCOD","ACPDAT","LODSCNCARCOD","LODSCNARPCOD","LODSCNDAT","DLVSCNCAR","DLVARPCOD","ACTDLVDAT","ACTWGT","ACTWGTUNT","ACTDSTCOD","ACTORGCOD","CLMTYP","ACTREGCOD","ACTCTRNUM"
"AA","batch_0411",1150,906117,"USJFKYGBLALAAUL00409011900055","US80AJF00217","BA","JFK",02-AUG-2020 12:50:00,"BA","JFK",02-AUG-2020 18:24:00,"BA","LHR",03-AUG-2020 07:15:00,12.1254,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906118,"USJFKYGBLALAAUL00409009900051","US80AJF00217","BA","JFK",02-AUG-2020 13:02:00,"BA","JFK",02-AUG-2020 18:24:00,"BA","LHR",03-AUG-2020 07:15:00,11.2436,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906120,"USJFKYGBLALAAUL00409004900055","US80AJF00217","BA","JFK",02-AUG-2020 13:02:00,"BA","JFK",02-AUG-2020 18:24:00,"BA","LHR",03-AUG-2020 07:15:00,12.1254,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906070,"USJFKYGBLALAAUL00409064900044","US80AJF00217","BA","JFK",02-AUG-2020 13:49:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,9.7003,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906066,"USJFKYGBLALAAUL00409069900055","US80AJF00217","BA","JFK",02-AUG-2020 13:49:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,12.1254,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906067,"USJFKYGBLALAAUL00409067900053","US80AJF00217","BA","JFK",02-AUG-2020 13:45:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,11.6845,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906069,"USJFKYGBLALAAUL00409065900059","US80AJF00217","BA","JFK",02-AUG-2020 13:50:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,13.0073,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906071,"USJFKYGBLALAAUL00409061900032","US80AJF00217","BA","JFK",02-AUG-2020 13:45:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,7.0548,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906072,"USJFKYGBLALAAUL00409059900044","US80AJF00217","BA","JFK",02-AUG-2020 13:50:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,9.7003,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906073,"USJFKYGBLALAAUL00409058900045","US80AJF00217","BA","JFK",02-AUG-2020 13:49:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,9.9208,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906065,"USJFKYGBLALAAUL00409071900055","US80AJF00217","BA","JFK",02-AUG-2020 13:29:00,"BA","JFK",02-AUG-2020 18:24:00,"BA","LHR",03-AUG-2020 07:15:00,12.1254,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906074,"USJFKYGBLALAAUL00409057900033","US80AJF00217","BA","JFK",02-AUG-2020 13:29:00,"BA","JFK",02-AUG-2020 18:24:00,"BA","LHR",03-AUG-2020 07:15:00,7.2753,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906075,"USJFKYGBLALAAUL00409056900029","US80AJF00217","BA","JFK",02-AUG-2020 13:45:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,6.3934,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906123,"USJFKYGBLALAAUL00409016900047","US80AJF00217","BA","JFK",02-AUG-2020 13:44:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,10.3617,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906076,"USJFKYGBLALAAUL00409054900033","US80AJF00217","BA","JFK",02-AUG-2020 13:49:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,7.2753,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1150,906077,"USJFKYGBLALAAUL00409052900046","US80AJF00217","BA","JFK",02-AUG-2020 13:49:00,"BA","JFK",02-AUG-2020 20:08:00,"BA","LHR",03-AUG-2020 08:59:00,10.1413,"LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0411",1125,959312,"USJFKYBDDACAAUL00202001900011","US80AJF00087","QR","JFK",04-AUG-2020 15:50:00,"QR","JFK",04-AUG-2020 20:39:00,"QR","DAC",07-AUG-2020 05:33:00,2.4251,"LBS","DAC","JFK","NPR","SW","ICAIR192AA"
"AA","batch_0411",1150,821205,"USORDATRISTBACN00133009900084","US70AOR02915","QR","ORD",01-AUG-2020 10:32:00,"QR","ORD",01-AUG-2020 18:49:00,"QR","IST",03-AUG-2020 18:43:00,18.5188,"LBS","IST","ORD","MSX","SW","ICAIR192AA"
