Mailtag,event,LOC,DTM,RCVSNDDAT,SEQNUM,col0
USJFKAAWAUAAAUN00080001900112,21,AUA,2008030830,8/3/2020 12:35,132963457,UNB+UNOA:2+AAI:YY+US101:UP+200803:1235+549'UNH+549+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AMI00039:3'LOC+48+USMIAA:108:139'
USJFKAAWAUAAAUN00080001900112,24,CLT,2008020917,7/26/2021 16:32,244288250,UNB+UNOA:2+AAI:YY+US101:UP+210726:1632+13708696'UNH+13708965+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US80AMI00039:3'LOC+48+USJFKA:108:139'
USJFKAAWAUAAAUN00080001900112,24,MIA,2008020605,7/26/2021 16:32,244288281,UNB+UNOA:2+AAI:YY+US101:UP+210726:1632+13708700'UNH+13708968+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AMI01675:3'LOC+48+USMIAA:108:139'
USJFKAAWAUAAAUN00080001900112,74,MIA,2008020341,8/2/2020 7:41,132721475,UNB+UNOA:2+AAI:YY+US101:UP+200802:0741+255'UNH+255+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AMI01687:3'LOC+48+USMIAA:108:139'
USJFKAGBLALAAUN00534008900040,21,LHR,2008021017,8/2/2020 9:26,132733292,UNB+UNOA:2+AAI:YY+US101:UP+200802:0926+282'UNH+282+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04505:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00534008900040,24,JFK,2008011924,7/23/2021 14:37,243091620,UNB+UNOA:2+AAI:YY+US101:UP+210723:1437+13707470'UNH+13707738+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70EJF02493:3'LOC+48+USMIAA:108:139'
USJFKAGBLALAAUN00534008900040,74,JFK,2008011603,8/1/2020 20:08,132555303,UNB+UNOA:2+AAI:YY+US101:UP+200801:2008+198'UNH+197+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04562:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00539013900031,21,LHR,2008021017,8/2/2020 9:26,132733292,UNB+UNOA:2+AAI:YY+US101:UP+200802:0926+282'UNH+282+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04505:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00539013900031,24,JFK,2008011924,7/23/2021 14:37,243091620,UNB+UNOA:2+AAI:YY+US101:UP+210723:1437+13707470'UNH+13707738+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70EJF02493:3'LOC+48+USMIAA:108:139'
USJFKAGBLALAAUN00539013900031,74,JFK,2008011603,8/1/2020 20:08,132555303,UNB+UNOA:2+AAI:YY+US101:UP+200801:2008+198'UNH+197+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04562:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00539014900068,21,LHR,2008021017,8/2/2020 9:26,132733292,UNB+UNOA:2+AAI:YY+US101:UP+200802:0926+282'UNH+282+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04505:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00539014900068,24,JFK,2008011924,7/23/2021 14:37,243091620,UNB+UNOA:2+AAI:YY+US101:UP+210723:1437+13707470'UNH+13707738+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70EJF02493:3'LOC+48+USMIAA:108:139'
USJFKAGBLALAAUN00539014900068,74,JFK,2008011603,8/1/2020 20:08,132555303,UNB+UNOA:2+AAI:YY+US101:UP+200801:2008+198'UNH+197+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04562:3'LOC+48+USJFKA:108:139'
USJFKAGBLALAAUN00539015900062,21,LHR,2008021017,8/2/2020 9:26,132733292,UNB+UNOA:2+AAI:YY+US101:UP+200802:0926+282'UNH+282+IFTSTA:D:96A:UN:RESDI2'BGM+622'CNI++US70AJF04505:3'LOC+48+USJFKA:108:139'
